/home/david/anaconda3/lib/python3.11/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/home/david/anaconda3/lib/python3.11/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=ResNet18_Weights.IMAGENET1K_V1`. You can also use `weights=ResNet18_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
/home/david/anaconda3/lib/python3.11/site-packages/torch/nn/modules/conv.py:456: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at /opt/conda/conda-bld/pytorch_1702400440653/work/aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 1/6, loss: 0.8194
Epoch 1/6, loss: 0.9984
Epoch 1/6, loss: 2.7699
Epoch 1/6, loss: 4.4534
Epoch 1/6, loss: 2.5830
Epoch 1/6, loss: 0.6255
Epoch 1/6, loss: 0.2751
Epoch 1/6, loss: 0.1119
Epoch 1/6, loss: 0.0996
Epoch 1/6, loss: 0.0842
Epoch 1/6, loss: 0.0884
Epoch 1/6, loss: 0.0662
Epoch 1/6, loss: 0.0658
Epoch 1/6, loss: 0.0363
Epoch 1/6, loss: 0.0541
Epoch 1/6, loss: 0.0513
Epoch 1/6, loss: 0.0600
Epoch 1/6, loss: 0.0402
Epoch 1/6, loss: 0.0401
Epoch 1/6, loss: 0.0367
Epoch 1/6, loss: 0.0363
Epoch 1/6, loss: 0.0305
Epoch 1/6, loss: 0.0579
Epoch 1/6, loss: 0.0391
Epoch 1/6, loss: 0.0345
Epoch 1/6, loss: 0.0355
Epoch 1/6, loss: 0.0292
Epoch 1/6, loss: 0.0343
Epoch 1/6, loss: 0.0337
Epoch 1/6, loss: 0.0305
Epoch 1/6, loss: 0.0360
Epoch 1/6, loss: 0.0305
Epoch 1/6, loss: 0.0318
Epoch 1/6, loss: 0.0351
Epoch 1/6, loss: 0.0319
Epoch 1/6, loss: 0.0264
Epoch 1/6, loss: 0.0381
Epoch 1/6, loss: 0.0317
Epoch 1/6, loss: 0.0334
Epoch 1/6, loss: 0.0281
Epoch 1/6, loss: 0.0334
Epoch 1/6, loss: 0.0355
Epoch 1/6, loss: 0.0213
Epoch 1/6, loss: 0.0282
Epoch 1/6, loss: 0.0365
Epoch 1/6, loss: 0.0255
Epoch 1/6, loss: 0.0347
Epoch 1/6, loss: 0.0419
Epoch 1/6, loss: 0.0250
Epoch 1/6, loss: 0.0306
Epoch 1/6, loss: 0.0348
Epoch 1/6, loss: 0.0227
Epoch 1/6, loss: 0.0279
Epoch 1/6, loss: 0.0273
Epoch 1/6, loss: 0.0236
Epoch 1/6, loss: 0.0361
Epoch 1/6, loss: 0.0270
Epoch 1/6, loss: 0.0297
Epoch 1/6, loss: 0.0378
Epoch 1/6, loss: 0.0312
Epoch 1/6, loss: 0.0250
Epoch 1/6, loss: 0.0280
Epoch 1/6, loss: 0.0372
Epoch 1/6, loss: 0.0303
Epoch 1/6, loss: 0.0269
Epoch 1/6, loss: 0.0344
Epoch 1/6, loss: 0.0312
Epoch 1/6, loss: 0.0234
Epoch 1/6, loss: 0.0222
Epoch 1/6, loss: 0.0313
Epoch 1/6, loss: 0.0393
Epoch 1/6, loss: 0.0276
Epoch 1/6, loss: 0.0311
Epoch 1/6, loss: 0.0304
Epoch 1/6, loss: 0.0338
Epoch 1/6, loss: 0.0223
Epoch 1/6, loss: 0.0230
Epoch 1/6, loss: 0.0370
Epoch 1/6, loss: 0.0317
Epoch 1/6, loss: 0.0322
Epoch 1/6, loss: 0.0363
Epoch 1/6, loss: 0.0384
Epoch 1/6, loss: 0.0426
Epoch 1/6, loss: 0.0345
Epoch 1/6, loss: 0.0331
Epoch 1/6, loss: 0.0348
Epoch 1/6, loss: 0.0261
Epoch 1/6, loss: 0.0271
Epoch 1/6, loss: 0.0240
Epoch 1/6, loss: 0.0295
Epoch 1/6, loss: 0.0366
Epoch 1/6, loss: 0.0252
Epoch 1/6, loss: 0.0289
Epoch 1/6, loss: 0.0416
Epoch 1/6, loss: 0.0314
Epoch 1/6, loss: 0.0242
Epoch 1/6, loss: 0.0322
Epoch 1/6, loss: 0.0195
Epoch 1/6, loss: 0.0246
Epoch 1/6, loss: 0.0198
Epoch 1/6, loss: 0.0299
Epoch 1/6, loss: 0.0353
Epoch 1/6, loss: 0.0306
Epoch 1/6, loss: 0.0253
Epoch 1/6, loss: 0.0336
Epoch 1/6, loss: 0.0499
Epoch 1/6, loss: 0.0354
Epoch 1/6, loss: 0.0299
Epoch 1/6, loss: 0.0243
Epoch 1/6, loss: 0.0203
